"ranks","gene","z"
0.313554744818026,"ABTB1",0.324482904814972
0.313240037077476,"AMDHD1",0.32413392056114
0.313056617678601,"AL359715.3",0.323930559161286
0.312627048636655,"ARHGAP25",0.323454387147903
0.311896909212597,"ZNF813",0.322645361576267
0.311841646700207,"MADCAM1",0.322584144988788
0.311565698396073,"PPP1R13L",0.322278500515657
0.311381903033446,"TNC",0.322074958316793
0.310692791847123,"JAKMIP2",0.321312039049092
0.310559458469289,"TEX22",0.321164466614903
0.310544225058254,"CELF2-AS2",0.321147607244988
0.310403272939801,"METTL14-DT",0.320991618782276
0.309825647433055,"BHLHE41",0.320352531611711
0.309782919494407,"AC012653.2",0.320305267306791
0.308715722144113,"AC009812.1",0.31912521536124
0.308451143789495,"AL359764.3",0.318832791292102
0.307982214361161,"ALDOC",0.318314638631936
0.307932485948102,"SULT1C2",0.318259699959947
0.307910839160839,"LINC02086",0.318235785726717
0.307785348796702,"LINC02516",0.318097157503354
0.307530262068216,"PRB1",0.317815401643676
0.307048967079919,"AC007285.2",0.3172839205223
0.306856282167684,"LINC01918",0.31707119238211
0.306477378811254,"AC135178.4",0.316652956185851
0.306390499163493,"AL391244.2",0.316557072931793
0.306379994668624,"ZNF776",0.31654548020545
0.306010123202352,"ARHGAP45",0.316137343728154
