"gene","BE1_ranks","BE2_ranks"
"AC005324.1",0.0117401583471092,0.0011037190285559
"AC005324.5",0.0127872116386853,0.00981003400221533
"AC005329.1",-0.00411637380278616,0.0146258781588385
"AC005329.2",-0.00294379116673167,0.00333194054435645
"AC005329.3",-0.00261198796433659,0.00877630191102307
"AC005332.1",0.00408169685387516,-0.00486837259661931
"AC005332.3",0.00208215968141257,0.0217112341456565
"AC005332.4",-0.0106592175425947,0.0070340445940772
"AC005332.5",0.00423547697469177,0.0200424988919201
"AC005332.6",-0.00809631119507616,-0.0142630200535292
"AC005339.1",-0.00238507858246714,-0.00499345813278713
"AC005342.1",0.00746995314917496,0.00794293938327071
"AC005343.1",0.00898858276223798,0.000483608714215117
"AC005343.4",-0.00488667873785525,-0.00109094144591103
"AC005355.1",-0.0209467261750673,0.000411393734577488
"AC005358.1",0.00568005807826647,-0.00281990814761362
"AC005358.2",0.00526667351123233,0.0253233681756505
"AC005363.2",0.00413451832718334,-0.0132550727526875
"AC005387.1",-0.00287474805509084,-0.00228194744835541
"AC005387.2",0.00363548318107822,0.00782233470881422
"AC005392.2",-0.00151392057885361,-0.0146560804392773
"AC005393.1",0.0116858479744154,0.00184695829065596
"AC005400.1",0.0336432781795562,0.0178199118502871
"AC005410.2",0.0202817061085465,-0.00800483978559711
"AC005414.1",0.00586039749004492,0.0166903222251405
"AC005476.2",-0.00167074947305815,0.0037565664068002
"AC005479.2",0.00287474805509084,-0.00870968222727719
"AC005480.1",0.00922609355066601,0.0205441468503878
"AC005481.1",0.00988539508631102,-0.018771148681941
"AC005482.1",0.00355883136800498,0.00919199873034333
